WKT,Stratum,#,Municipality,Barangay,Barangay,Longitude,Latitude
POINT (120.5325868 18.1525243),1001,1,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5325868,18.1525243
POINT (120.5337521 18.1564697),1002,2,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5337521,18.1564697
POINT (120.5331263 18.1508841),1003,3,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5331263,18.1508841
POINT (120.5299537 18.1366039),1004,4,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5299537,18.1366039
POINT (120.5281082 18.1394237),1005,5,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5281082,18.1394237
POINT (120.5291814 18.1521568),1006,6,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5291814,18.1521568
POINT (120.5303093 18.1524149),1007,7,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5303093,18.1524149
POINT (120.5363443 18.1577179),1008,8,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5363443,18.1577179
POINT (120.5318613 18.145924),1009,9,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5318613,18.145924
POINT (120.5283796 18.152166),1010,10,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5283796,18.152166
POINT (120.5271303 18.1395417),1011,11,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5271303,18.1395417
POINT (120.5281831 18.1413276),1012,12,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5281831,18.1413276
POINT (120.5304761 18.1481974),1013,13,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5304761,18.1481974
POINT (120.5308285 18.1502559),1014,14,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5308285,18.1502559
POINT (120.53248484 18.15612184),1015,15,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5324848,18.15612184
POINT (120.5360008 18.1551893),1016,16,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5360008,18.1551893
POINT (120.5339039 18.157103),1017,17,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5339039,18.157103
POINT (120.5311434 18.1539116),1018,18,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5311434,18.1539116
POINT (120.5327521 18.1566609),1019,19,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5327521,18.1566609
POINT (120.536235 18.1559131),1020,20,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.536235,18.1559131
POINT (120.5367352 18.1579678),1021,21,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5367352,18.1579678
POINT (120.5288414 18.1393947),1022,22,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5288414,18.1393947
POINT (120.5303606 18.1381078),1023,23,Laoag City (Capital),Bgy. No. 1, San Lorenzo,120.5303606,18.1381078
POINT (120.5616946 18.2178335),1024,24,Laoag City (Capital),Bgy. No. 23, San Matias,120.5616946,18.2178335
POINT (120.5611906 18.2108304),1025,25,Laoag City (Capital),Bgy. No. 23, San Matias,120.5611906,18.2108304
POINT (120.5551098 18.2114236),1026,26,Laoag City (Capital),Bgy. No. 23, San Matias,120.5551098,18.2114236
POINT (120.5646747 18.2178817),1027,27,Laoag City (Capital),Bgy. No. 23, San Matias,120.5646747,18.2178817
POINT (120.5559102 18.211371),1028,28,Laoag City (Capital),Bgy. No. 23, San Matias,120.5559102,18.211371
POINT (120.563935 18.2141215),1029,29,Laoag City (Capital),Bgy. No. 23, San Matias,120.563935,18.2141215
POINT (120.55989611 18.22568507),1030,30,Laoag City (Capital),Bgy. No. 23, San Matias,120.5598961,18.22568507
POINT (120.5534952 18.2121669),1031,31,Laoag City (Capital),Bgy. No. 23, San Matias,120.5534952,18.2121669
POINT (120.562129 18.2183771),1032,32,Laoag City (Capital),Bgy. No. 23, San Matias,120.562129,18.2183771
POINT (120.5626024 18.2191263),1033,33,Laoag City (Capital),Bgy. No. 23, San Matias,120.5626024,18.2191263
POINT (120.5534964 18.2128929),1034,34,Laoag City (Capital),Bgy. No. 23, San Matias,120.5534964,18.2128929
POINT (120.5626812 18.212592),1035,35,Laoag City (Capital),Bgy. No. 23, San Matias,120.5626812,18.212592
POINT (120.5622451 18.2189394),1036,36,Laoag City (Capital),Bgy. No. 23, San Matias,120.5622451,18.2189394
POINT (120.5498714 18.1480002),1037,37,Laoag City (Capital),Bgy. No. 50, Buttong,120.5498714,18.1480002
POINT (120.5473487 18.1444525),1038,38,Laoag City (Capital),Bgy. No. 50, Buttong,120.5473487,18.1444525
POINT (120.5503313 18.1580243),1039,39,Laoag City (Capital),Bgy. No. 50, Buttong,120.5503313,18.1580243
POINT (120.5490808 18.1491128),1040,40,Laoag City (Capital),Bgy. No. 50, Buttong,120.5490808,18.1491128
POINT (120.5462075 18.1453858),1041,41,Laoag City (Capital),Bgy. No. 50, Buttong,120.5462075,18.1453858
POINT (120.5447347 18.1434373),1042,42,Laoag City (Capital),Bgy. No. 50, Buttong,120.5447347,18.1434373
POINT (120.5500598 18.1466753),1043,43,Laoag City (Capital),Bgy. No. 50, Buttong,120.5500598,18.1466753
POINT (120.5491757 18.1462682),1044,44,Laoag City (Capital),Bgy. No. 50, Buttong,120.5491757,18.1462682
POINT (120.5479018 18.1450642),1045,45,Laoag City (Capital),Bgy. No. 50, Buttong,120.5479018,18.1450642
POINT (120.5483123 18.1518766),1046,46,Laoag City (Capital),Bgy. No. 50, Buttong,120.5483123,18.1518766
POINT (120.5494776 18.1553758),1047,47,Laoag City (Capital),Bgy. No. 50, Buttong,120.5494776,18.1553758
POINT (120.5479861 18.1513996),1048,48,Laoag City (Capital),Bgy. No. 50, Buttong,120.5479861,18.1513996
POINT (120.5609952 18.1718247),1049,49,Laoag City (Capital),Bgy. No. 40, Balatong,120.5609952,18.1718247
POINT (120.5552711 18.1664449),1050,50,Laoag City (Capital),Bgy. No. 40, Balatong,120.5552711,18.1664449
POINT (120.5634103 18.1631738),1051,51,Laoag City (Capital),Bgy. No. 40, Balatong,120.5634103,18.1631738
POINT (120.5565085 18.1660442),1052,52,Laoag City (Capital),Bgy. No. 40, Balatong,120.5565085,18.1660442
POINT (120.5541815 18.1651089),1053,53,Laoag City (Capital),Bgy. No. 40, Balatong,120.5541815,18.1651089
POINT (120.5574768 18.1603265),1054,54,Laoag City (Capital),Bgy. No. 40, Balatong,120.5574768,18.1603265
POINT (120.5544386 18.1597304),1055,55,Laoag City (Capital),Bgy. No. 40, Balatong,120.5544386,18.1597304
POINT (120.5616519 18.1706504),1056,56,Laoag City (Capital),Bgy. No. 40, Balatong,120.5616519,18.1706504
POINT (120.5611557 18.1635027),1057,57,Laoag City (Capital),Bgy. No. 40, Balatong,120.5611557,18.1635027
POINT (120.5630995 18.1626341),1058,58,Laoag City (Capital),Bgy. No. 40, Balatong,120.5630995,18.1626341
POINT (120.5598719 18.1642668),1059,59,Laoag City (Capital),Bgy. No. 40, Balatong,120.5598719,18.1642668
POINT (120.5586684 18.1612497),1060,60,Laoag City (Capital),Bgy. No. 40, Balatong,120.5586684,18.1612497
POINT (120.6365083 18.1946134),1061,61,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6365083,18.1946134
POINT (120.6308305 18.2022244),1062,62,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6308305,18.2022244
POINT (120.6312427 18.203223),1063,63,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6312427,18.203223
POINT (120.6297812 18.201445),1064,64,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6297812,18.201445
POINT (120.6339514 18.197918),1065,65,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6339514,18.197918
POINT (120.636575 18.1940606),1066,66,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.636575,18.1940606
POINT (120.6351429 18.1966281),1067,67,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6351429,18.1966281
POINT (120.6292459 18.204793),1068,68,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6292459,18.204793
POINT (120.6325921 18.1993577),1069,69,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6325921,18.1993577
POINT (120.6329348 18.2011658),1070,70,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6329348,18.2011658
POINT (120.6048656 18.2103211),1071,71,Laoag City (Capital),Bgy. No. 55-B, Salet-Bulangon,120.6048656,18.2103211
POINT (120.6079539 18.2135684),1072,72,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6079539,18.2135684
POINT (120.6085942 18.215545),1073,73,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6085942,18.215545
POINT (120.6064958 18.2109908),1074,74,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6064958,18.2109908
POINT (120.6080107 18.2129102),1075,75,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6080107,18.2129102
POINT (120.6056402 18.2110195),1076,76,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6056402,18.2110195
POINT (120.6048974 18.2218547),1077,77,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6048974,18.2218547
POINT (120.6061148 18.2155707),1078,78,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6061148,18.2155707
POINT (120.6092394 18.2122141),1079,79,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6092394,18.2122141
POINT (120.6054805 18.2115301),1080,80,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6054805,18.2115301
POINT (120.6070151 18.2117836),1081,81,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6070151,18.2117836
POINT (120.6072231 18.2157346),1082,82,Laoag City (Capital),Bgy. No. 2, Santa Joaquina,120.6072231,18.2157346
POINT (120.654689 18.2068835),1083,83,Laoag City (Capital),Bgy. No. 46, Nalbo,120.654689,18.2068835
POINT (120.6578772 18.205369),1084,84,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6578772,18.205369
POINT (120.6568303 18.2007996),1085,85,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6568303,18.2007996
POINT (120.6525522 18.199451),1086,86,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6525522,18.199451
POINT (120.658318 18.2065187),1087,87,Laoag City (Capital),Bgy. No. 46, Nalbo,120.658318,18.2065187
POINT (120.6561756 18.1984601),1088,88,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6561756,18.1984601
POINT (120.6553927 18.2056126),1089,89,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6553927,18.2056126
POINT (120.6516287 18.1992739),1090,90,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6516287,18.1992739
POINT (120.6507612 18.1979997),1091,91,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6507612,18.1979997
POINT (120.6512906 18.198328),1092,92,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6512906,18.198328
POINT (120.6546967 18.1988687),1093,93,Laoag City (Capital),Bgy. No. 46, Nalbo,120.6546967,18.1988687
POINT (120.5333981 18.1700748),1094,94,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5333981,18.1700748
POINT (120.5364922 18.1745143),1095,95,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5364922,18.1745143
POINT (120.5342988 18.1712982),1096,96,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5342988,18.1712982
POINT (120.5332145 18.1692595),1097,97,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5332145,18.1692595
POINT (120.5354357 18.1743133),1098,98,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5354357,18.1743133
POINT (120.536851 18.1722018),1099,99,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.536851,18.1722018
POINT (120.5342932 18.173609),1100,100,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5342932,18.173609
POINT (120.5387532 18.1718645),1101,101,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5387532,18.1718645
POINT (120.5360333 18.1719744),1102,102,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5360333,18.1719744
POINT (120.5345195 18.1718107),1103,103,Laoag City (Capital),Bgy. No. 54-A, Lagui-Sail,120.5345195,18.1718107
POINT (120.5682185 18.254734),1104,104,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5682185,18.254734
POINT (120.5644265 18.2494314),1105,105,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5644265,18.2494314
POINT (120.5683291 18.2539834),1106,106,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5683291,18.2539834
POINT (120.5679568 18.2528215),1107,107,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5679568,18.2528215
POINT (120.5687254 18.2548167),1108,108,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5687254,18.2548167
POINT (120.5673173 18.2451328),1109,109,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5673173,18.2451328
POINT (120.5646208 18.2466495),1110,110,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5646208,18.2466495
POINT (120.5644916 18.2513617),1111,111,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5644916,18.2513617
POINT (120.5685276 18.2482545),1112,112,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.5685276,18.2482545
POINT (120.569436 18.2496656),1113,113,Laoag City (Capital),Bgy. No. 55-A, Barit-Pandan,120.569436,18.2496656
POINT (120.6043762 18.2267554),1114,114,Laoag City (Capital),Bgy. No. 37, Calayab,120.6043762,18.2267554
POINT (120.6074178 18.2254889),1115,115,Laoag City (Capital),Bgy. No. 37, Calayab,120.6074178,18.2254889
POINT (120.6058887 18.2180279),1116,116,Laoag City (Capital),Bgy. No. 37, Calayab,120.6058887,18.2180279
POINT (120.6067374 18.2239706),1117,117,Laoag City (Capital),Bgy. No. 37, Calayab,120.6067374,18.2239706
POINT (120.6049044 18.218582),1118,118,Laoag City (Capital),Bgy. No. 37, Calayab,120.6049044,18.218582
POINT (120.6045922 18.2255823),1119,119,Laoag City (Capital),Bgy. No. 37, Calayab,120.6045922,18.2255823
POINT (120.60302052 18.21868604),1120,120,Laoag City (Capital),Bgy. No. 37, Calayab,120.6030205,18.21868604
POINT (120.602354 18.2110717),1121,121,Laoag City (Capital),Bgy. No. 37, Calayab,120.602354,18.2110717
POINT (120.6019484 18.2096049),1122,122,Laoag City (Capital),Bgy. No. 37, Calayab,120.6019484,18.2096049
POINT (120.6219077 18.1771628),1123,123,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6219077,18.1771628
POINT (120.6196323 18.1792639),1124,124,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6196323,18.1792639
POINT (120.6180335 18.1813934),1125,125,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6180335,18.1813934
POINT (120.6187404 18.1796751),1126,126,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6187404,18.1796751
POINT (120.6182385 18.1807474),1127,127,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6182385,18.1807474
POINT (120.6226586 18.1769638),1128,128,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6226586,18.1769638
POINT (120.6217845 18.1775492),1129,129,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6217845,18.1775492
POINT (120.6208616 18.1779519),1130,130,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6208616,18.1779519
POINT (120.6244241 18.1759801),1131,131,Laoag City (Capital),Bry. No. 48-A, Cabungaan North,120.6244241,18.1759801
POINT (120.6546013 18.1896013),1132,132,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6546013,18.1896013
POINT (120.6603824 18.1889882),1133,133,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6603824,18.1889882
POINT (120.6600734 18.193749),1134,134,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6600734,18.193749
POINT (120.6584237 18.1857271),1135,135,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6584237,18.1857271
POINT (120.6568413 18.1856922),1136,136,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6568413,18.1856922
POINT (120.6545909 18.185821),1137,137,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6545909,18.185821
POINT (120.6544578 18.1877845),1138,138,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6544578,18.1877845
POINT (120.6609805 18.1923339),1139,139,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6609805,18.1923339
POINT (120.6597016 18.1869783),1140,140,Laoag City (Capital),Bgy. No. 44, Zamboanga,120.6597016,18.1869783
POINT (120.584774 18.2145159),1141,141,Laoag City (Capital),Bgy. No. 57, Pila,120.584774,18.2145159
POINT (120.57630021 18.21937246),1142,142,Laoag City (Capital),Bgy. No. 57, Pila,120.5763002,18.21937246
POINT (120.5855788 18.2122601),1143,143,Laoag City (Capital),Bgy. No. 57, Pila,120.5855788,18.2122601
POINT (120.58220622 18.22784029),1144,144,Laoag City (Capital),Bgy. No. 57, Pila,120.5822062,18.22784029
POINT (120.57689857 18.22102625),1145,145,Laoag City (Capital),Bgy. No. 57, Pila,120.5768986,18.22102625
POINT (120.58321754 18.21828481),1146,146,Laoag City (Capital),Bgy. No. 57, Pila,120.5832175,18.21828481
POINT (120.57356658 18.22639769),1147,147,Laoag City (Capital),Bgy. No. 57, Pila,120.5735666,18.22639769
POINT (120.58270466 18.22304529),1148,148,Laoag City (Capital),Bgy. No. 57, Pila,120.5827047,18.22304529
POINT (120.57665447 18.21888022),1149,149,Laoag City (Capital),Bgy. No. 57, Pila,120.5766545,18.21888022
POINT (120.5566972 18.1961683),1150,150,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5566972,18.1961683
POINT (120.5531576 18.1901457),1151,151,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5531576,18.1901457
POINT (120.57320304 18.18734642),1152,152,Laoag City (Capital),Bgy. No. 47, Bengcag,120.573203,18.18734642
POINT (120.5537825 18.1895921),1153,153,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5537825,18.1895921
POINT (120.5571661 18.1965446),1154,154,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5571661,18.1965446
POINT (120.5537997 18.188774),1155,155,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5537997,18.188774
POINT (120.5559503 18.1944575),1156,156,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5559503,18.1944575
POINT (120.5540947 18.1905939),1157,157,Laoag City (Capital),Bgy. No. 47, Bengcag,120.5540947,18.1905939
POINT (120.5437296 18.1925525),1158,158,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5437296,18.1925525
POINT (120.5449781 18.1886338),1159,159,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5449781,18.1886338
POINT (120.5445721 18.1878095),1160,160,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5445721,18.1878095
POINT (120.5467588 18.1885732),1161,161,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5467588,18.1885732
POINT (120.5446224 18.1918746),1162,162,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5446224,18.1918746
POINT (120.5464381 18.1893383),1163,163,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5464381,18.1893383
POINT (120.5457268 18.1895481),1164,164,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5457268,18.1895481
POINT (120.5435756 18.1867697),1165,165,Laoag City (Capital),Bgy. No. 12, San Isidro,120.5435756,18.1867697
POINT (120.637962 18.1768949),1166,166,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.637962,18.1768949
POINT (120.6401464 18.1819529),1167,167,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.6401464,18.1819529
POINT (120.6371485 18.188078),1168,168,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.6371485,18.188078
POINT (120.6395066 18.1808287),1169,169,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.6395066,18.1808287
POINT (120.6379354 18.1773983),1170,170,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.6379354,18.1773983
POINT (120.6408867 18.1835339),1171,171,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.6408867,18.1835339
POINT (120.640321 18.181138),1172,172,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.640321,18.181138
POINT (120.6374559 18.1886779),1173,173,Laoag City (Capital),Bgy. No. 35, Gabu Sur,120.6374559,18.1886779
