WKT,Point #,Municipality,Barangay,Longitude,Latitude
POINT (120.386859 16.6078685),1,City of San Fernando (Capital),Sevilla,120.386859,16.6078685
POINT (120.4000413 16.6092204),2,City of San Fernando (Capital),Sevilla,120.4000413,16.6092204
POINT (120.3840483 16.6112117),3,City of San Fernando (Capital),Sevilla,120.3840483,16.6112117
POINT (120.398701 16.6092952),4,City of San Fernando (Capital),Sevilla,120.398701,16.6092952
POINT (120.405144 16.6104346),5,City of San Fernando (Capital),Sevilla,120.405144,16.6104346
POINT (120.3786666 16.6210971),6,City of San Fernando (Capital),Sevilla,120.3786666,16.6210971
POINT (120.3894361 16.601607),7,City of San Fernando (Capital),Sevilla,120.3894361,16.601607
POINT (120.3860761 16.6058896),8,City of San Fernando (Capital),Sevilla,120.3860761,16.6058896
POINT (120.4062878 16.6125569),9,City of San Fernando (Capital),Sevilla,120.4062878,16.6125569
POINT (120.3974367 16.6104139),10,City of San Fernando (Capital),Sevilla,120.3974367,16.6104139
POINT (120.3852782 16.6120091),11,City of San Fernando (Capital),Sevilla,120.3852782,16.6120091
POINT (120.3846929 16.6125275),12,City of San Fernando (Capital),Sevilla,120.3846929,16.6125275
POINT (120.3758092 16.6100593),13,City of San Fernando (Capital),Sevilla,120.3758092,16.6100593
POINT (120.4006903 16.6030381),14,City of San Fernando (Capital),Sevilla,120.4006903,16.6030381
POINT (120.392225 16.5996584),15,City of San Fernando (Capital),Sevilla,120.392225,16.5996584
POINT (120.3861338 16.6066917),16,City of San Fernando (Capital),Sevilla,120.3861338,16.6066917
POINT (120.4013898 16.6075401),17,City of San Fernando (Capital),Sevilla,120.4013898,16.6075401
POINT (120.3756118 16.6107197),18,City of San Fernando (Capital),Sevilla,120.3756118,16.6107197
POINT (120.3966521 16.6099061),19,City of San Fernando (Capital),Sevilla,120.3966521,16.6099061
POINT (120.3831491 16.6104818),20,City of San Fernando (Capital),Sevilla,120.3831491,16.6104818
POINT (120.3795728 16.621325),21,City of San Fernando (Capital),Sevilla,120.3795728,16.621325
POINT (120.3987711 16.6018783),22,City of San Fernando (Capital),Sevilla,120.3987711,16.6018783
POINT (120.3866634 16.6021987),23,City of San Fernando (Capital),Sevilla,120.3866634,16.6021987
POINT (120.38734877 16.61432901),24,City of San Fernando (Capital),Sevilla,120.3873488,16.61432901
POINT (120.3900106 16.6014507),25,City of San Fernando (Capital),Sevilla,120.3900106,16.6014507
POINT (120.3787472 16.619647),26,City of San Fernando (Capital),Sevilla,120.3787472,16.619647
POINT (120.3789567 16.6189639),27,City of San Fernando (Capital),Sevilla,120.3789567,16.6189639
POINT (120.3850057 16.6107774),28,City of San Fernando (Capital),Sevilla,120.3850057,16.6107774
POINT (120.386824 16.6025532),29,City of San Fernando (Capital),Sevilla,120.386824,16.6025532
POINT (120.4027005 16.6087526),30,City of San Fernando (Capital),Sevilla,120.4027005,16.6087526
POINT (120.4009257 16.6086812),31,City of San Fernando (Capital),Sevilla,120.4009257,16.6086812
POINT (120.407382 16.6146667),32,City of San Fernando (Capital),Sevilla,120.407382,16.6146667
POINT (120.3858614 16.6049399),33,City of San Fernando (Capital),Sevilla,120.3858614,16.6049399
POINT (120.385161 16.6125254),34,City of San Fernando (Capital),Sevilla,120.385161,16.6125254
POINT (120.3819055 16.6093476),35,City of San Fernando (Capital),Sevilla,120.3819055,16.6093476
POINT (120.4022968 16.6087939),36,City of San Fernando (Capital),Sevilla,120.4022968,16.6087939
POINT (120.399455 16.6093736),37,City of San Fernando (Capital),Sevilla,120.399455,16.6093736
POINT (120.398462 16.6018614),38,City of San Fernando (Capital),Sevilla,120.398462,16.6018614
